Player,Squad,Pos,Age,Min,90s,Gls,Ast,TklW,Gls_per90,Ast_per90,xG_per90,npxG_per90,xAG_per90,KP_per90,PrgP_per90,Succ_per90,PrgC_per90,TklW_per90,Int_per90,SCA_per90,GCA_per90,SoT%,Cmp%
Esteban Saveljich,Rayo Vallecano,FW,31,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ezequiel Ponce,Elche,"FW,MF",25,1129,12.5,4,0,7,0.32,0.0,0.28800000000000003,0.28800000000000003,0.055999999999999994,0.88,1.52,0.4,0.8,0.56,0.08,2.0,0.32,31.0,74.7
Ezequiel Ávila,Osasuna,"FW,MF",28,1709,19.0,8,2,5,0.42105263157894735,0.10526315789473684,0.3684210526315789,0.2473684210526316,0.09473684210526316,0.9473684210526315,2.0526315789473686,0.8947368421052632,1.2105263157894737,0.2631578947368421,0.42105263157894735,2.1578947368421053,0.10526315789473684,32.8,54.6
Fabrizio Angileri,Getafe,DF,28,585,6.5,0,0,9,0.0,0.0,0.015384615384615385,0.015384615384615385,0.0,0.0,2.4615384615384617,0.6153846153846154,0.6153846153846154,1.3846153846153846,1.0769230769230769,0.7692307692307693,0.3076923076923077,0.0,58.8
Fali,Cádiz,"DF,MF",28,1714,19.0,0,0,19,0.0,0.0,0.031578947368421054,0.031578947368421054,0.010526315789473684,0.21052631578947367,2.9473684210526314,0.10526315789473684,0.47368421052631576,1.0,0.6842105263157895,0.5789473684210527,0.05263157894736842,0.0,76.7
Fede San Emeterio,Cádiz,MF,25,1844,20.5,0,1,22,0.0,0.04878048780487805,0.014634146341463414,0.014634146341463414,0.03902439024390244,0.2926829268292683,2.1951219512195124,0.0975609756097561,0.04878048780487805,1.0731707317073171,0.8292682926829268,0.8780487804878049,0.0975609756097561,16.7,78.8
Federico Fernández,Elche,DF,33,90,1.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,57.1
Federico Valverde,Real Madrid,"MF,FW",24,2502,27.8,7,4,20,0.2517985611510791,0.14388489208633093,0.15467625899280574,0.15467625899280574,0.2266187050359712,1.5467625899280575,5.431654676258993,1.1151079136690647,2.5179856115107913,0.7194244604316546,0.6115107913669064,2.9136690647482015,0.5035971223021583,33.3,87.0
Felipe,Atlético Madrid,DF,33,194,2.2,0,0,2,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,9.09090909090909,0.45454545454545453,0.9090909090909091,0.9090909090909091,0.0,0.45454545454545453,0.0,0.0,91.7
Felix Garreta,Betis,DF,18,90,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,85.0
